rule,threshold,precision,recall,false_alarm_rate,median_lead_weeks
algorithm2,0.4,0.9280677009873061,0.5970961887477314,0.005849965588437715,17.0
algorithm2,0.5,0.8677298311444653,0.8393829401088929,0.016173434273916036,15.0
algorithm2,0.6,0.6707466340269278,0.9945553539019963,0.06171140169763707,18.0
algorithm2,0.7,0.4603174603174603,1.0,0.1481991282404221,21.0
algorithm2,0.8,0.3288570575947478,1.0,0.2579720119293416,24.0
algorithm2,0.9,0.24071647007426825,1.0,0.39871530167469604,26.0
cumulative_progress,0.4,1.0,0.13702359346642468,0.0,22.0
cumulative_progress,0.5,0.9961089494163424,0.2323049001814882,0.00011470520761642578,20.0
cumulative_progress,0.6,0.9912087912087912,0.4092558983666062,0.0004588208304657031,19.0
cumulative_progress,0.7,0.9029927760577915,0.794010889292196,0.010782289515944024,20.0
cumulative_progress,0.8,0.5162700339970859,0.9646098003629764,0.11424638678596008,24.0
cumulative_progress,0.9,0.30458817025981205,1.0,0.2885983023629273,26.0
