bin_lo,bin_hi,n,mean_pred,observed,ci95_lo,ci95_hi
0.0,0.1,9,0.0851051698141194,0.0,0.0,0.2991527535509594
0.1,0.2,59,0.1559592919148304,0.06779661016949153,0.026678187098391565,0.16175749881667106
0.2,0.30000000000000004,131,0.254994281653084,0.2366412213740458,0.17201421581886073,0.31627426488739013
0.30000000000000004,0.4,237,0.3533443114975368,0.31223628691983124,0.2566282987671571,0.37383421269265726
0.4,0.5,374,0.45152114399769866,0.4144385026737968,0.3656281403052181,0.4649887107773519
0.5,0.6000000000000001,507,0.5537170120725974,0.52465483234714,0.4811624042731737,0.5677764448730196
0.6000000000000001,0.7000000000000001,715,0.652281408035335,0.5552447552447553,0.5186202561315575,0.5912787814310988
0.7000000000000001,0.8,1048,0.7539491129727068,0.7204198473282443,0.6924805476853879,0.7467490853696273
0.8,0.9,2293,0.8590457531511835,0.8560837331007414,0.8411207993433079,0.8698555257110623
0.9,1.0,6627,0.9595286284048835,0.959861173985212,0.9548627194060357,0.9643267843818395
