model,fpr,tpr
bureau_proxy,0.0,0.0
bureau_proxy,0.013039117352056168,0.040075954427343595
bureau_proxy,0.02657973921765296,0.06306216270237858
bureau_proxy,0.04012036108324975,0.10053967619428343
bureau_proxy,0.05265797392176529,0.12862282630421748
bureau_proxy,0.0667001003009027,0.1658005196881871
bureau_proxy,0.08124373119358075,0.1897861283230062
bureau_proxy,0.09578736208625878,0.21107335598640817
bureau_proxy,0.11083249749247744,0.23865680591645014
bureau_proxy,0.12637913741223672,0.2607435538676794
bureau_proxy,0.1399197592778335,0.2785328802718369
bureau_proxy,0.15446339017051153,0.299620227863282
bureau_proxy,0.17051153460381144,0.32360583649810115
bureau_proxy,0.18505516549648948,0.3442934239456326
bureau_proxy,0.20160481444332998,0.36398161103337995
bureau_proxy,0.2176529588766299,0.38386967819308415
bureau_proxy,0.23219658976930793,0.39646212272636416
bureau_proxy,0.24824473420260781,0.4151509094543274
bureau_proxy,0.2642928786359077,0.43413951629022585
bureau_proxy,0.28084252758274825,0.4592244653208075
bureau_proxy,0.2958876629889669,0.47871277233659804
bureau_proxy,0.3104312938816449,0.49110533679792123
bureau_proxy,0.3234704112337011,0.5104937037777334
bureau_proxy,0.3385155466399198,0.5311812912252648
bureau_proxy,0.3510531594784353,0.547671397161703
bureau_proxy,0.36710130391173523,0.567059764141515
bureau_proxy,0.3831494483450351,0.5825504697181692
bureau_proxy,0.399197592778335,0.5955426743953628
bureau_proxy,0.4147442326980943,0.607935238856686
bureau_proxy,0.4307923771313942,0.6233260043973616
bureau_proxy,0.44583751253761283,0.6350189886068359
bureau_proxy,0.4608826479438315,0.6492104737157706
bureau_proxy,0.4754262788365095,0.6640015990405757
bureau_proxy,0.4889669007021063,0.6795922446532081
bureau_proxy,0.5020060180541625,0.6931840895462722
bureau_proxy,0.5150451354062187,0.7065760543673796
bureau_proxy,0.5295887662988967,0.718768738756746
bureau_proxy,0.5441323971915747,0.7339596242254647
bureau_proxy,0.559679037111334,0.7441535078952628
bureau_proxy,0.5757271815446339,0.7550469718169098
bureau_proxy,0.5922768304914744,0.7700379772136718
bureau_proxy,0.6078234704112337,0.783130121926844
bureau_proxy,0.6223671013039117,0.7939236458125125
bureau_proxy,0.6359077231695085,0.807115730561663
bureau_proxy,0.6494483450351053,0.8193084149510294
bureau_proxy,0.6670010030090271,0.8337997201678993
bureau_proxy,0.6825476429287863,0.844393363981611
bureau_proxy,0.7026078234704113,0.8531880871477113
